fine,coarse,fine_dt_s,coarse_dt_s,metric,fine_value,coarse_value,relative_difference,event_time_difference_s,event_time_tolerance_s,pass
dt_over_4,dt_over_2,0.000125,0.00025,max_total_contact_force_mn,5.246236338141151,5.246931031623024,0.00013239996441464976,1.3768095641353284e-07,0.00025,True
dt_over_4,dt_over_2,0.000125,0.00025,max_leg_contact_force_mn,1.724934594072012,1.7251827170508074,0.00014382417371973244,1.3768095641353284e-07,0.00025,True
dt_over_4,dt_over_2,0.000125,0.00025,max_penetration_m,0.320305644794598,0.32040394428230745,0.0003067986192543271,1.3768095641353284e-07,0.00025,True
dt_over_4,dt_over_2,0.000125,0.00025,platform_heave_peak_m,0.5882458334949913,0.5882456585654932,2.973748187381489e-07,1.3768095641353284e-07,0.00025,True
dt_over_4,dt_over_2,0.000125,0.00025,platform_roll_peak_deg,1.8333921736142673,1.8333920103557293,8.904725370347396e-08,1.3768095641353284e-07,0.00025,True
dt_over_4,dt_over_2,0.000125,0.00025,platform_pitch_peak_deg,0.45254150241092445,0.4525414760911958,5.8159811815169184e-08,1.3768095641353284e-07,0.00025,True
dt_over_4,dt_over_2,0.000125,0.00025,contact_absorbed_energy_kj,888.8077867398556,888.6303049653193,0.00019968521561598894,1.3768095641353284e-07,0.00025,True
dt_over_2,dt,0.00025,0.0005,max_total_contact_force_mn,5.246931031623024,5.244723470328435,0.0004207338120672832,1.3971680346003268e-07,0.0005,True
dt_over_2,dt,0.00025,0.0005,max_leg_contact_force_mn,1.7251827170508074,1.7244873996733832,0.0004030398464765945,1.3971680346003268e-07,0.0005,True
dt_over_2,dt,0.00025,0.0005,max_penetration_m,0.32040394428230745,0.320143572563262,0.0008126358108003132,1.3971680346003268e-07,0.0005,True
dt_over_2,dt,0.00025,0.0005,platform_heave_peak_m,0.5882456585654932,0.5882453777859924,4.773167411819071e-07,1.3971680346003268e-07,0.0005,True
dt_over_2,dt,0.00025,0.0005,platform_roll_peak_deg,1.8333920103557293,1.8333917518412914,1.4100336229034087e-07,1.3971680346003268e-07,0.0005,True
dt_over_2,dt,0.00025,0.0005,platform_pitch_peak_deg,0.4525414760911958,0.45254146352587943,2.7766109986238594e-08,1.3971680346003268e-07,0.0005,True
dt_over_2,dt,0.00025,0.0005,contact_absorbed_energy_kj,888.6303049653193,887.7753162209317,0.0009621422312633722,1.3971680346003268e-07,0.0005,True
