algorithm,pass,passes_completed,fixed_point_metric,max_total_contact_force_mn,max_leg_contact_force_mn,max_penetration_m,first_contact_time_s,all_legs_contact_sample_time_s,platform_heave_peak_m,platform_roll_peak_deg,platform_pitch_peak_deg,contact_absorbed_energy_kj,contact_dissipation_kj,combined_energy_residual_kj
one_pass,1,1,0.032563624732126796,5.2470933493914105,1.725022694182437,0.32035622048563117,509.9611104844609,510.0165,0.5882458571058807,1.8333918403769423,0.45254174271046893,888.5365803345551,871.9089250107355,-0.9910189681500197
two_pass,1,2,0.032563624732126796,5.2470933493914105,1.725022694182437,0.32035622048563117,509.9611104844609,510.0165,0.5882458571058807,1.8333918403769423,0.45254174271046893,888.5365803345551,871.9089250107355,-0.9910189681500197
two_pass,2,2,3.248348968090421e-05,5.244723470328435,1.7244873996733832,0.320143572563262,509.96110823594137,510.0165,0.5882453777859924,1.8333917518412914,0.45254146352587943,887.7753162209317,871.1435006760535,-0.9910660540945828
iterative,1,2,0.032563624732126796,5.2470933493914105,1.725022694182437,0.32035622048563117,509.9611104844609,510.0165,0.5882458571058807,1.8333918403769423,0.45254174271046893,888.5365803345551,871.9089250107355,-0.9910189681500197
iterative,2,2,3.248348968090421e-05,5.244723470328435,1.7244873996733832,0.320143572563262,509.96110823594137,510.0165,0.5882453777859924,1.8333917518412914,0.45254146352587943,887.7753162209317,871.1435006760535,-0.9910660540945828
