time_s,paper_acceleration_up_m_s2,paper_strut_force_n,paper_stroke_m,model_acceleration_up_m_s2,model_strut_force_n,model_stroke_m
0.0,-7.772277227722778,20643.564356435658,0.0,-9.80665,0.0,0.0
0.005,-6.624752475247532,27782.67326732673,0.003287747524752478,12.602936877164003,63799.92585241844,0.0049306483884385115
0.01,-5.834653465346561,37283.16831683165,0.005289851485148527,12.60786691681343,63813.96163834377,0.009703785417081313
0.015,-3.4549504950495176,50058.41584158412,0.005509034653465365,12.589764396671574,63762.42389920011,0.014319348099953394
0.02,0.7089108910890753,62833.66336633658,0.008666831683168317,12.549913039426839,63648.96738385831,0.01877756138130863
0.025,3.992574257425733,71940.59405940596,0.011660891089108925,12.489566110799286,63477.16013042865,0.023078922097595576
0.03,4.695049504950505,70437.62376237626,0.012537623762376254,12.409945810943563,63250.48173358953,0.027224183312269702
0.035,3.2623762376237697,63093.56435643573,0.014747648514851483,12.312242755000367,62972.32186572144,0.031214339038832375
0.04,1.8792079207920747,54267.32673267324,0.017389108910891102,12.197615538892295,62645.97904073092,0.03505060935859365
0.045,-0.7509900990098966,58024.75247524752,0.018046658415841597,12.067190386517803,62274.65960961447,0.03873442593859058
0.05,0.6039603960395928,59948.01980198021,0.02005569306930694,11.922060874559188,61861.47697698894,0.04226741795407495
0.055,2.6292079207920613,60135.891089108925,0.023343440594059406,11.763287731185754,61409.451028000876,0.0456513984190142
0.06,6.374257425742532,56643.564356435665,0.025608910891089118,11.591898705001901,60921.507755222796,0.04888835092712569
0.065,11.99405940594056,53547.02970297031,0.027646534653465362,11.408888500661414,60400.47907534753,0.051980416805085985
0.07,18.257425742574224,51668.31683168319,0.02940000000000001,11.2152187776431,59849.10282570242,0.054929882678723806
0.075,23.267326732673254,49500.00000000003,0.033011757425742555,11.011818208759328,59270.02293082278,0.05773916845221542
0.08,26.190099009900976,47459.40594059408,0.03671881188118811,10.799582595047417,58665.78972954673,0.0604108156995546
0.085,22.801980198019805,46332.17821782179,0.038472277227722784,10.579375033773845,58038.860453322,0.06294747646686455
0.09,17.182178217821797,45433.663366336645,0.040359158415841596,10.352026136363184,57391.599846647885,0.06535190248345484
0.095,12.653465346534656,44666.58415841585,0.04230148514851487,10.118334293146392,56726.280920811754,0.06762693477890272
0.1,10.415841584158414,43351.48514851486,0.043178217821782196,9.87906598190755,56045.08583231919,0.06977549370285235
0.105,9.237623762376204,42036.386138613874,0.044936014851485157,9.63495611729286,55350.10687765887,0.07180056934367848
