rank,start_index,success,cost,relative_cost_above_best,optimality,nfev,near_optimal,force_observation_ratio,stroke_observation_ratio,vertical_stiffness_n_m,quadratic_vertical_stiffness_n_m2,compression_vertical_damping_ns_m,rebound_vertical_damping_ns_m
1,5,True,4.162124759225043,0.0,3.4907494106596317,37,True,0.45699523961694705,1.9999999999999747,98152.14389378438,248.48492673570405,14395.130551783821,215893.41177287893
2,49,True,4.162126034003826,3.0628077165458574e-07,0.08175654357280726,31,True,0.456991263230494,1.9999999999997486,98159.93445877443,231.07565467032677,14401.584637682274,217722.6179309558
3,92,True,4.162129259740497,1.0813023909645055e-06,0.07714637187799861,38,True,0.45699323856849955,1.9999999999999978,98150.69573241365,272.7538905523392,14399.347617620342,217654.23524164764
4,7,True,4.162144214810986,4.674436031755786e-06,0.09286209870644752,31,True,0.4569348745723198,1.9999999995740187,98159.33659042159,92.39819218674882,14364.046785770468,210641.36979082893
5,119,True,4.162148558581071,5.718078482725177e-06,1.0287712891754504,38,True,0.457026950730824,1.99999999993419,98189.79910412885,73.62187953401916,14403.05144739384,214569.4918560162
6,40,True,4.162149651165983,5.98058500875165e-06,2.9646864538021163,27,True,0.45693739020548224,1.9999999989112973,98150.74053763082,138.69316244763164,14364.317780483987,210685.986003107
7,117,True,4.162151017326355,6.308821294643054e-06,0.13012479653752446,38,True,0.4570264525900222,1.9999999999999873,98194.1297188719,52.889245561452746,14403.65211113975,214483.80703085853
8,111,True,4.162151148732525,6.340393190514266e-06,1.0618003114324295,42,True,0.45702640839454517,1.999999999999825,98193.32420583707,56.97025480900358,14403.578972906987,214484.07531285618
9,6,True,4.162151890227452,6.518546170200243e-06,0.13023550132691425,38,True,0.4570264638516246,1.999999999999987,98193.431694441,57.1169695117776,14403.764958354146,214490.6060875612
10,74,True,4.162152357659601,6.6308523061350746e-06,1.9481105465449378,36,True,0.4570261507062896,1.9999999999999976,98189.31957537711,77.40488517085551,14403.23271843827,214469.26383789218
11,68,True,4.162153266436909,6.849196868155855e-06,0.9051335205211293,41,True,0.4570289155015263,1.9999999999999998,98192.6316927214,61.21652555837769,14403.838417191182,214474.39902456113
12,79,True,4.162153311561336,6.860038548660929e-06,1.891044240874356,36,True,0.4570266826942413,1.9999999999999998,98192.85459411761,60.600779791264785,14403.877243775189,214474.06308461356
13,91,True,4.162153550094403,6.917348956415413e-06,1.9018064861248845,36,True,0.45702647513405087,1.9999999999999987,98191.92880921486,65.80279182472196,14403.908421703683,214493.78657562993
14,41,True,4.1621554832942715,7.38182322868377e-06,1.903108965484125,43,True,0.45702709582800954,1.9999999999999976,98189.60409538462,78.88558487956504,14404.038850569183,214504.5791950954
