time_s,paper_acceleration_up_m_s2,paper_strut_force_n,paper_stroke_m,model_acceleration_up_m_s2,model_strut_force_n,model_stroke_m
0.0,-4.108910891089104,13069.306930693085,0.011262376237623752,-9.80665,0.0,0.0
0.005,-5.3148514851485045,19832.673267326736,0.011810334158415831,1.5486416466579769,64656.86039287206,0.004962870414310334
0.01,-6.761386138613872,30925.24752475244,0.012480734323432333,1.7054194022953002,65549.55058299446,0.009835433416179038
0.015,-5.884653465346542,48021.534653465285,0.013320936468646852,1.8489828556651826,66366.99873412026,0.0146147488894146
0.02,-3.4336633663366505,61811.88118811876,0.014161138613861373,1.979678285979162,67111.17655488847,0.019298124478155126
0.025,-1.7400990099009936,74818.06930693063,0.015001340759075894,2.097855315701068,67784.07479036642,0.023883109096748862
0.03,0.0881188118811791,87405.44554455437,0.015841542904290414,2.2038662966395233,68387.6997264698,0.028367486375292208
0.035,3.104950495049492,87167.82178217827,0.016681745049504936,2.2980657175010872,68924.06981657911,0.032749268053959106
0.04,6.899009900990101,80156.43564356447,0.017521947194719455,2.3808096328315766,69395.21242994013,0.03702668733722992
0.045,8.652475247524748,67193.31683168322,0.018362149339933975,2.452455113246966,69803.16072128688,0.0411981922187278
0.05,8.014851485148519,55678.217821782186,0.019202351485148497,2.5133597168302906,70149.9506209835,0.045262438786970574
0.055,5.960396039603984,45533.16831683171,0.020042553630363016,2.5638809815470793,70437.61794484532,0.04921828452194968
0.06,3.320792079207946,38542.57425742577,0.0222457920792079,2.6043759385094223,70668.19562267188,0.05306478159205391
0.065,0.5212871287128884,33761.88118811881,0.02454721534653464,2.6352006458971307,70843.7110444008,0.05680117016046433
0.07,-2.1306930693069184,32634.65346534653,0.026848638613861376,2.656709743324182,70966.18352267721,0.06042687170975951
0.075,-3.6336633663366285,37009.90099009896,0.029994740099009883,2.6692560264196104,71037.62187052355,0.06394148239308767
0.08,-3.908910891089109,43378.21782178213,0.03339207920792078,2.6731900413735907,71060.02209269113,0.06734476641988205
