time_s,paper_acceleration_up_m_s2,paper_strut_force_n,paper_stroke_m,model_acceleration_up_m_s2,model_strut_force_n,model_stroke_m
0.0,-6.757425742574254,11287.128712871294,0.0,-9.80665,0.0,0.0
0.005,-6.757425742574254,15044.554455445545,0.0,-4.052737679191389,65525.380979332665,0.004995382983941405
0.01,-6.7561881188118775,18014.851485148516,0.0,-3.8940006326952448,67333.07370512869,0.00996951231855226
0.015,-6.704001650165013,19893.56435643565,0.0,-3.740558763931247,69080.465105686,0.014918419576107522
0.02,-6.651815181518148,22874.257425742573,0.0,-3.592406731013531,70767.61601424064,0.01983826869874467
0.025,-6.599628712871284,25778.46534653465,0.0,-3.44953449644283,72394.6407375333,0.024725355864714783
0.03,-6.547442244224419,27845.04950495049,0.0,-3.311927465599391,73961.70547865608,0.029576109237733576
0.035,-6.480610561056102,30419.55445544555,0.0,-3.179566625594102,75469.0267558201,0.03438708860240521
0.04,-6.366336633663362,33237.62376237624,0.0,-3.052428684340878,76916.86981860329,0.03915498488918975
0.045,-6.157590759075909,36055.69306930694,0.0,-2.9304862097168973,78305.54706319781,0.04387661959239106
0.05,-6.043729372937295,37522.277227722785,0.0,-2.8137077686808434,79635.41644813564,0.04854894408464344
0.055,-5.939356435643566,37710.148514851506,0.0,-2.7020580662229836,80906.87991192931,0.05316903883137519
0.06,-5.834983498349835,35444.554455445556,0.0,-2.595498084024488,82120.38179402369,0.05773411250872219
0.065,-5.730610561056105,34059.65346534654,0.0,-2.493985218707069,83276.40726041328,0.06224150102835803
0.07,-5.626237623762376,34623.26732673268,0.0,-2.397473419557638,84375.48073523791,0.06668866647269636
0.075,-5.521864686468645,35621.28712871287,0.0,-2.305913325616392,85418.16433962772,0.07107319594390887
0.08,-5.417491749174916,36641.58415841585,0.0,-2.2192524020203006,86405.05633902764,0.07539280033018517
0.085,-5.3131188118811865,37205.19801980199,0.0,-2.1374350754977467,87336.78960018852,0.07964531299264362
0.09,-5.208745874587457,36853.96039603962,0.0,-2.060402868913587,88214.03005897194,0.08382868837627974
0.095,-5.104372937293727,35966.584158415855,0.0,10.667517683533996,87480.63454087327,0.08789464658977109
0.1,-4.9834983498349805,36905.94059405942,0.0,10.666395332777912,86196.20139739728,0.0917355007522353
0.105,-4.809543454345431,38348.76237623763,0.0,10.648922195828616,84835.34257988748,0.09534843577426691
0.11,-4.635588558855882,40415.346534653465,0.0,10.61593627512744,83402.35147785489,0.09873516255044197
0.115,-4.4616336633663325,42156.683168316835,0.0,10.568260122471292,81901.4455437033,0.10189766508414665
0.12,-3.5544554455445554,42885.14851485149,0.0,10.506700275631745,80336.76356874307,0.10483818557723054
0.125,-2.508250825082509,41194.30693069308,0.0,10.43204674618372,78712.36320215015,0.10755920980610283
0.13,-1.415841584158413,40560.89108910892,0.0,10.345072556953598,77032.21870537607,0.11006345279339794
0.135,0.44595709570959374,40396.0396039604,4.028465346534571e-05,10.246533327493411,75300.21893449868,0.11235384478346003
0.14,3.6815181518151934,40396.0396039604,0.00036905940594059763,10.137166905987998,73520.1655430042,0.11443351752904539
0.145,6.134900990098999,38870.049504950504,0.0006978341584158478,10.01769304600388,71695.77139749989,0.11630579089581837
0.15,7.908415841584148,36051.98019801982,0.0010266089108910996,9.888813126493416,69830.6591988787,0.11797415979042329
0.155,9.533003300330027,39188.61386138615,0.0024079826732673355,17.113526932156134,67935.0357840177,0.11944239101148545
0.16,11.123762376237623,45350.495049504956,0.003832673267326739,16.741846359607642,66036.92636790097,0.12071584346851513
0.165,12.706270627062702,56059.15841584158,0.005257363861386142,16.360124894918606,64142.09963015392,0.121800984771302
0.17,14.7920792079208,66467.82178217822,0.006069554455445551,15.96959715602731,62253.93270342779,0.12270435912956827
0.17500000000000002,16.67079207920792,74268.56435643566,0.006727103960396047,15.571446601970665,60375.63181727294,0.12343255122988668
0.18,18.635313531353138,72953.46534653468,0.0073846534653465405,15.166806174776541,58510.23497031329,0.12399217179960541
0.185,21.14975247524753,67932.17821782181,0.008739603960396043,14.756758997704681,56660.61476193002,0.12438984385576277
0.19,23.168316831683168,61229.70297029703,0.010493069306930704,14.342339125514725,54829.48137040411,0.12463218962841645
0.195,23.99092409240924,61981.188118811886,0.012246534653465363,13.924532342580909,53019.385664890455,0.12472581814716412
0.2,24.15841584158416,66207.92079207923,0.014103960396039623,12.14136344619642,35514.84155222289,0.12468182996239752
