sea_state_id,hs_m,tp_s,heading_deg,metric,mean,standard_deviation,p50,p95,p99,maximum
Hs1_Tp6,1.0,6.0,0.0,landing_center.max_abs_vertical_velocity_m_s,0.028726620001024186,0.0036820903690514164,0.028343803869185037,0.03529970149836065,0.03868536309052566,0.040594726589888205
Hs1_Tp6,1.0,6.0,0.0,leg_forward_port.max_abs_vertical_velocity_m_s,0.015311554154135685,0.0017147977872126968,0.015274345483221735,0.018219080446718418,0.019031380968214755,0.02013809696031468
Hs1_Tp6,1.0,6.0,0.0,leg_forward_starboard.max_abs_vertical_velocity_m_s,0.015311554154134883,0.0017147977872126543,0.015274345483221423,0.018219080446717485,0.01903138096821382,0.020138096960313878
Hs1_Tp6,1.0,6.0,0.0,leg_aft_port.max_abs_vertical_velocity_m_s,0.04377225378460408,0.005516989078522797,0.042852599336032866,0.05376776240939654,0.05989980518110318,0.06326537256339616
Hs1_Tp6,1.0,6.0,0.0,leg_aft_starboard.max_abs_vertical_velocity_m_s,0.04377225378460326,0.00551698907852268,0.042852599336032034,0.05376776240939479,0.05989980518110176,0.06326537256339614
Hs1_Tp6,1.0,6.0,0.0,four_feet.max_vertical_span_m,0.03793676340971618,0.004297641744765972,0.03763689683093975,0.045130040852097625,0.04841757049982296,0.05522501335703678
Hs1_Tp6,1.0,6.0,0.0,four_feet.max_vertical_velocity_span_m_s,0.03168381149085604,0.003686750875388226,0.03144098001619117,0.03768781151224974,0.04255395902145909,0.04556260571086962
Hs1_Tp6,1.0,6.0,0.0,platform.max_tilt_deg,0.120756468431279,0.013679818546351342,0.1198019634656739,0.1436533816710089,0.15411791355093968,0.17578667716176682
Hs1_Tp6,1.0,6.0,0.0,platform.max_tilt_rate_deg_s,0.1008527042952276,0.011735292515327855,0.10007974770460482,0.11996402992979828,0.13545345852789842,0.14503027838063803
Hs1_Tp6,1.0,6.0,30.0,landing_center.max_abs_vertical_velocity_m_s,0.027658483956806673,0.00317811837262594,0.02764433883877037,0.03329179994661983,0.0361730609740509,0.037525341022157696
Hs1_Tp6,1.0,6.0,30.0,leg_forward_port.max_abs_vertical_velocity_m_s,0.021565782397893765,0.002464995103464982,0.021148008586730535,0.02614586646237278,0.027480503598855663,0.02766891503147152
Hs1_Tp6,1.0,6.0,30.0,leg_forward_starboard.max_abs_vertical_velocity_m_s,0.02418543392915847,0.002604752717165278,0.023938878762347196,0.028249255744705663,0.031067355308173703,0.03134805549718526
Hs1_Tp6,1.0,6.0,30.0,leg_aft_port.max_abs_vertical_velocity_m_s,0.043920082744945084,0.005277308051310089,0.04326842738250537,0.05510221113530211,0.05721038241654628,0.06178452493241348
Hs1_Tp6,1.0,6.0,30.0,leg_aft_starboard.max_abs_vertical_velocity_m_s,0.04742052898396921,0.0057758387571116366,0.046906133658524016,0.05641348762573976,0.06357643182212291,0.06818366445835823
Hs1_Tp6,1.0,6.0,30.0,four_feet.max_vertical_span_m,0.05834543761729788,0.0073822556351966625,0.05720922582697588,0.07237576912890864,0.07635046512175102,0.08545728954624031
Hs1_Tp6,1.0,6.0,30.0,four_feet.max_vertical_velocity_span_m_s,0.04916151729252463,0.006315215660580765,0.04778691660210768,0.06025810134033305,0.06477950733431477,0.07275374384484037
Hs1_Tp6,1.0,6.0,30.0,platform.max_tilt_deg,0.1431107722147483,0.016848650673189938,0.14061581032441367,0.17583372337447034,0.18399332427588372,0.20282533709458078
Hs1_Tp6,1.0,6.0,30.0,platform.max_tilt_rate_deg_s,0.11753976840270938,0.014095501666260992,0.11476715652001274,0.14557969730370532,0.15252830255383726,0.16992860236804874
Hs1_Tp6,1.0,6.0,60.0,landing_center.max_abs_vertical_velocity_m_s,0.05020475920889278,0.006301832446576012,0.04983444145504756,0.06109068697357971,0.06400144570153851,0.07404675794745023
Hs1_Tp6,1.0,6.0,60.0,leg_forward_port.max_abs_vertical_velocity_m_s,0.06294900583822577,0.007055423988203233,0.06217064101056996,0.07571249475374507,0.07989870925147675,0.08827202714641422
Hs1_Tp6,1.0,6.0,60.0,leg_forward_starboard.max_abs_vertical_velocity_m_s,0.06840543090081416,0.008028745660993231,0.06729106645724955,0.08423264962681144,0.09132710643463864,0.09161662387045853
Hs1_Tp6,1.0,6.0,60.0,leg_aft_port.max_abs_vertical_velocity_m_s,0.04431016348094386,0.0047600686478755875,0.043807489480360035,0.05258957289764348,0.0546875600100009,0.06030573809562691
