sea_state_id,duration_s,metric,p95,p95_ci_lower,p95_ci_upper
Hs3_Tp8,600.0,landing_center.max_abs_vertical_velocity_m_s,1.1242510071646494,1.1053719344737993,1.1498648450730824
Hs3_Tp8,600.0,leg_1.max_abs_vertical_velocity_m_s,1.2450979325233347,1.2195438878920175,1.2830213913160036
Hs3_Tp8,600.0,leg_2.max_abs_vertical_velocity_m_s,1.2450979325233351,1.21858125362888,1.2828679437137833
Hs3_Tp8,600.0,leg_3.max_abs_vertical_velocity_m_s,1.4802103447650197,1.4559583547576904,1.534063581811589
Hs3_Tp8,600.0,leg_4.max_abs_vertical_velocity_m_s,1.4802103447650206,1.4568020783672389,1.5340635818115904
Hs3_Tp8,600.0,four_feet.max_vertical_span_m,2.05224798392685,2.010028870331788,2.108155891669367
Hs3_Tp8,600.0,four_feet.max_vertical_velocity_span_m_s,1.59452426737166,1.5625962291691422,1.6350203296893862
Hs3_Tp8,600.0,platform.max_tilt_deg,12.004735979390738,11.757772982734345,12.331772320449696
Hs3_Tp8,600.0,platform.max_tilt_rate_deg_s,9.327256253847793,9.140320635208631,9.562497276900613
Hs3_Tp8,600.0,deck_edge.minimum_dynamic_elevation_m,-3.466546707639404,-3.5030544274439217,-3.3985686103354453
Hs3_Tp8,600.0,deck_edge.max_immersion_m,2.578225174386605,2.4664831515257597,2.7839668478131547
Hs3_Tp8,1200.0,landing_center.max_abs_vertical_velocity_m_s,1.1776906250535837,1.1604883316578198,1.1949128523247652
Hs3_Tp8,1200.0,leg_1.max_abs_vertical_velocity_m_s,1.32434841278418,1.3031737015835065,1.3692275279657518
Hs3_Tp8,1200.0,leg_2.max_abs_vertical_velocity_m_s,1.3243484127841811,1.3031816803618859,1.3691408652617973
Hs3_Tp8,1200.0,leg_3.max_abs_vertical_velocity_m_s,1.5470832011673235,1.5269358473613366,1.570383739264033
Hs3_Tp8,1200.0,leg_4.max_abs_vertical_velocity_m_s,1.5470832011673235,1.5274803312206893,1.570383739264035
Hs3_Tp8,1200.0,four_feet.max_vertical_span_m,2.1404936788860702,2.1005234832055635,2.170390467005028
Hs3_Tp8,1200.0,four_feet.max_vertical_velocity_span_m_s,1.6661808005977052,1.6350814213080083,1.6904363359251442
Hs3_Tp8,1200.0,platform.max_tilt_deg,12.520933962090805,12.307680020299559,12.695816847010551
Hs3_Tp8,1200.0,platform.max_tilt_rate_deg_s,9.7464150345187,9.564496221841251,9.88827017388286
Hs3_Tp8,1200.0,deck_edge.minimum_dynamic_elevation_m,-3.9461333093096735,-4.031349624412647,-3.9173295630943477
Hs3_Tp8,1200.0,deck_edge.max_immersion_m,2.8178321982106818,2.7305970471095438,2.917276868751713
Hs3_Tp8,1800.0,landing_center.max_abs_vertical_velocity_m_s,1.2071486947944876,1.1862474520112278,1.235790210632171
Hs3_Tp8,1800.0,leg_1.max_abs_vertical_velocity_m_s,1.3808267706406057,1.3562755998042137,1.4035748583888736
Hs3_Tp8,1800.0,leg_2.max_abs_vertical_velocity_m_s,1.3808267706406054,1.3563718824891675,1.4034864082411078
Hs3_Tp8,1800.0,leg_3.max_abs_vertical_velocity_m_s,1.5866364369839212,1.5600882428945861,1.6125888010492908
Hs3_Tp8,1800.0,leg_4.max_abs_vertical_velocity_m_s,1.586636436983921,1.5591207074702662,1.6125888010492924
Hs3_Tp8,1800.0,four_feet.max_vertical_span_m,2.1952742698229253,2.162268006731478,2.237038043981597
Hs3_Tp8,1800.0,four_feet.max_vertical_velocity_span_m_s,1.7058841781171272,1.6858449358069487,1.7368573590850513
Hs3_Tp8,1800.0,platform.max_tilt_deg,12.841376002303516,12.648741170983364,13.043021026742112
Hs3_Tp8,1800.0,platform.max_tilt_rate_deg_s,9.978662096444793,9.86144146080775,10.185657664411517
Hs3_Tp8,1800.0,deck_edge.minimum_dynamic_elevation_m,-4.285810138953179,-4.33378956030337,-4.251788194041428
Hs3_Tp8,1800.0,deck_edge.max_immersion_m,2.991478981200325,2.892438451409527,3.0669881023175183
Hs3_Tp10,600.0,landing_center.max_abs_vertical_velocity_m_s,1.5758814699064376,1.5514021659196553,1.6063305433861328
Hs3_Tp10,600.0,leg_1.max_abs_vertical_velocity_m_s,1.7511603488051934,1.7134174441706185,1.777077146355699
Hs3_Tp10,600.0,leg_2.max_abs_vertical_velocity_m_s,1.7511603488051937,1.7134174441706198,1.7772643639924022
Hs3_Tp10,600.0,leg_3.max_abs_vertical_velocity_m_s,1.643877278288533,1.6140460234316367,1.6726369439463749
Hs3_Tp10,600.0,leg_4.max_abs_vertical_velocity_m_s,1.6438772782885331,1.6146467700224871,1.6725385173830936
Hs3_Tp10,600.0,four_feet.max_vertical_span_m,1.6810874192273288,1.645997293789273,1.7206666877310854
Hs3_Tp10,600.0,four_feet.max_vertical_velocity_span_m_s,1.2072985644546428,1.181423170870827,1.234119044527993
Hs3_Tp10,600.0,platform.max_tilt_deg,9.833612109334043,9.620793576120997,10.064064535423999
Hs3_Tp10,600.0,platform.max_tilt_rate_deg_s,7.0621584857612625,6.89236758811392,7.219669027522409
Hs3_Tp10,600.0,deck_edge.minimum_dynamic_elevation_m,-3.3610238509913866,-3.403930621576145,-3.2931238304682964
Hs3_Tp10,600.0,deck_edge.max_immersion_m,2.212810391324384,2.116852055803857,2.3098914627335936
Hs3_Tp10,1200.0,landing_center.max_abs_vertical_velocity_m_s,1.6591027720677836,1.6311977556177761,1.6822867502487968
Hs3_Tp10,1200.0,leg_1.max_abs_vertical_velocity_m_s,1.826112114091992,1.795859886450994,1.863763596348155
Hs3_Tp10,1200.0,leg_2.max_abs_vertical_velocity_m_s,1.826112114091992,1.7955221216479824,1.8616065361427312
Hs3_Tp10,1200.0,leg_3.max_abs_vertical_velocity_m_s,1.7330174117396056,1.6947923089740278,1.7706284854710266
Hs3_Tp10,1200.0,leg_4.max_abs_vertical_velocity_m_s,1.7330174117396056,1.6919732152950564,1.7728225926163148
Hs3_Tp10,1200.0,four_feet.max_vertical_span_m,1.7543898692110576,1.731428986372487,1.772658911397701
Hs3_Tp10,1200.0,four_feet.max_vertical_velocity_span_m_s,1.261254603179078,1.2403801737765465,1.2816537703004618
Hs3_Tp10,1200.0,platform.max_tilt_deg,10.262398769420505,10.128318208474901,10.369165025599976
Hs3_Tp10,1200.0,platform.max_tilt_rate_deg_s,7.3777772630501754,7.255666694171706,7.498447113829985
Hs3_Tp10,1200.0,deck_edge.minimum_dynamic_elevation_m,-3.7941281352456344,-3.821115965358773,-3.715270208819879
Hs3_Tp10,1200.0,deck_edge.max_immersion_m,2.4671642353360053,2.3683646087955292,2.545758554032758
Hs3_Tp10,1800.0,landing_center.max_abs_vertical_velocity_m_s,1.6989937387485983,1.67594329816613,1.7224692920711506
Hs3_Tp10,1800.0,leg_1.max_abs_vertical_velocity_m_s,1.872559553301736,1.8520558794585176,1.9099608426618764
Hs3_Tp10,1800.0,leg_2.max_abs_vertical_velocity_m_s,1.8725595533017365,1.8535538378859509,1.9054619995352944
Hs3_Tp10,1800.0,leg_3.max_abs_vertical_velocity_m_s,1.7843457878339433,1.7501348156461218,1.8069421154591785
Hs3_Tp10,1800.0,leg_4.max_abs_vertical_velocity_m_s,1.7843457878339444,1.7503679736538555,1.8114038081378936
Hs3_Tp10,1800.0,four_feet.max_vertical_span_m,1.8153967829545203,1.7892259396623074,1.8527133995123484
Hs3_Tp10,1800.0,four_feet.max_vertical_velocity_span_m_s,1.3020547394265676,1.281552693578399,1.3227726240356132
Hs3_Tp10,1800.0,platform.max_tilt_deg,10.619262022859488,10.453178553277048,10.846518535064368
Hs3_Tp10,1800.0,platform.max_tilt_rate_deg_s,7.616439874688898,7.496730830789174,7.737630265290312
Hs3_Tp10,1800.0,deck_edge.minimum_dynamic_elevation_m,-4.055476992925132,-4.101169453805755,-4.0125680653556755
Hs3_Tp10,1800.0,deck_edge.max_immersion_m,2.630507227335254,2.528536351216463,2.729000437059677
